Location,Keyword,Landing URL,Template Type,Status
Lagos,cheap flights from london to lagos,https://vukatravels.co.uk/cheap-flights-from-london-to-lagos/,Primary,Created
Lagos,flights to lagos from uk,https://vukatravels.co.uk/flights-to-lagos-from-uk/,Primary,Created
Lagos,flights from london to lagos,https://vukatravels.co.uk/flights-from-london-to-lagos/,Redirect Alias,Created
Accra,cheap flights from london to accra,https://vukatravels.co.uk/cheap-flights-from-london-to-accra/,Primary,Created
Accra,flights to accra from uk,https://vukatravels.co.uk/flights-to-accra-from-uk/,Primary,Created
Accra,flights from london to accra,https://vukatravels.co.uk/flights-from-london-to-accra/,Redirect Alias,Created
Harare,cheap flights from london to harare,https://vukatravels.co.uk/cheap-flights-from-london-to-harare/,Primary,Created
Harare,flights to harare from uk,https://vukatravels.co.uk/flights-to-harare-from-uk/,Primary,Created
Harare,flights from london to harare,https://vukatravels.co.uk/flights-from-london-to-harare/,Redirect Alias,Created
Entebbe,cheap flights from london to entebbe,https://vukatravels.co.uk/cheap-flights-from-london-to-entebbe/,Primary,Created
Entebbe,flights to entebbe from uk,https://vukatravels.co.uk/flights-to-entebbe-from-uk/,Primary,Created
Entebbe,flights from london to entebbe,https://vukatravels.co.uk/flights-from-london-to-entebbe/,Redirect Alias,Created
Nairobi,cheap flights from london to nairobi,https://vukatravels.co.uk/cheap-flights-from-london-to-nairobi/,Primary,Created
Nairobi,flights to nairobi from uk,https://vukatravels.co.uk/flights-to-nairobi-from-uk/,Primary,Created
Nairobi,flights from london to nairobi,https://vukatravels.co.uk/flights-from-london-to-nairobi/,Redirect Alias,Created
,cheap flights from london to mombasa,https://vukatravels.co.uk/cheap-flights-from-london-to-mombasa/,Primary,Created
,flights to mombasa from uk,https://vukatravels.co.uk/flights-to-mombasa-from-uk/,Primary,Created
,cheap flights from london to dar es salaam,https://vukatravels.co.uk/cheap-flights-from-london-to-dar-es-salaam/,Primary,Created
,flights to dar es salaam from uk,https://vukatravels.co.uk/flights-to-dar-es-salaam-from-uk/,Primary,Created
